REPORTED_AT,RACE_ID,CONTEST,WARD_NAME,ACCLAIMED,REPORTING,OUT_OF,VOTES_CAST,RACE,CANDIDATE_NAME,VOTES_RECEIVED,PERCENTAGE
"Monday, October 21, 2013 10:16 pm",128,Public School Board Trustee ,Ward E,No,30,30,16083,128,Ken GIBSON,6959,43.3%
"Monday, October 21, 2013 10:16 pm",128,Public School Board Trustee ,Ward E,No,30,30,16083,128,Bridget STIRLING,4469,27.8%
"Monday, October 21, 2013 10:16 pm",128,Public School Board Trustee ,Ward E,No,30,30,16083,128,Lorraine WHEATLEY,3077,19.1%
"Monday, October 21, 2013 10:16 pm",129,Public School Board Trustee ,Ward F,No,49,49,22043,129,Michael JANZ,14709,66.7%
"Monday, October 21, 2013 10:16 pm",129,Public School Board Trustee ,Ward F,No,49,49,22043,129,Noah SHILLINGTON,3670,16.6%
"Monday, October 21, 2013 10:16 pm",130,Public School Board Trustee ,Ward G,Yes,42,42,0,130,Sarah HOFFMAN,0,0.0%
"Monday, October 21, 2013 10:16 pm",131,Public School Board Trustee ,Ward H,No,34,34,22826,131,Julie DAVIES - JODOIN,3656,16.0%
"Monday, October 21, 2013 10:16 pm",131,Public School Board Trustee ,Ward H,No,34,34,22826,131,Nathan IP,6475,28.4%
"Monday, October 21, 2013 10:16 pm",131,Public School Board Trustee ,Ward H,No,34,34,22826,131,Mike LANTEIGNE,3691,16.2%
"Monday, October 21, 2013 10:16 pm",131,Public School Board Trustee ,Ward H,No,34,34,22826,131,Weslyn MATHER,5992,26.2%
"Monday, October 21, 2013 10:16 pm",132,Public School Board Trustee ,Ward I,No,34,34,16813,132,Sherry ADAMS,9795,58.3%
"Monday, October 21, 2013 10:16 pm",132,Public School Board Trustee ,Ward I,No,34,34,16813,132,Leslie Ann CLEARY,5421,32.2%
